Id,Element,Language,Meaning,Frequency
3622,used to mean dwarf.,Modern English,,1
3623,tote,Middle English,A look-out hill.,1
3624,sænget,Old English,Clearing,1
3625,werpels Old English,Modern English,,2
3626,water,Middle English,water,1
3627,water,Middle English,water,1
3628,Personal,name (Uncertain) Unknown,Personal name,1
3629,chace,Middle English,"A chase, a tract of ground for breeding and hunting wild animals.",1
3630,bel,Old English,"Interval, clearing",1
3631,Personal,name (Old Norse) Old Norse,Personal name,1
3632,Personal,name (Old Norse) Old Norse,Personal name,1
3633,Personal,name (Old Norse) Old Norse,Personal name,1
3634,Tribal-Name,Old English,Tribal name.,1
3635,soke,Middle English,"The exercise of judicial power, jurisdiction, the district over which a right of jurisdiction was exercised, an estate.",1
3636,píll,Old Norse,A willow-tree.,1
3637,vengi,Old Norse,A field.,1
3638,wrang,Old English,Crooked or twisted in shape.,1
3639,round,Middle English,Round.,1
3640,bataille,Old French,Battle.,1
3641,bettws C,Modern English,,1
3642,crowyn C,Modern English,,1
3643,castrum,Latin,Castle.,2
3644,bogel,Old English,Little bend.,1
3645,bello,I,"Beautiful, fair.",1
3646,bosco,I,Wood.,1
3647,cipp,Old English,"A beam, a log.",2
3648,chirche,Middle English,A church.,1
3649,prēon,Old English,"A brooch, a pin.",1
3650,pulfre,Old English,Unknown.,1
3651,clēo,Old English,"A ball, used of a ball-shaped hill.",3
3652,Personal,name (Uncertain) Unknown,Personal name,1
3653,grēote,Old English,A gravelly place or stream.,3
3654,grynel,Old English,"Unknown: related to `grin', `noose, snare'?",1
3655,hine,Middle English,"A hind, a servant.",2
3656,hawdd C,Modern English,,1
3657,Personal,name (Uncertain) Unknown,Personal name,1
3658,hlēt Old English,Modern English,,1
3659,cnocc C,Modern English,,2
3660,blōd,Old English,"Blood.  (Probably used of blood-red colour, as a red-leaved tree or red soil.)",1
3661,loppe,Old English,A spider.,1
3662,hlūd,Old English,"Loud, noisy.",2
3663,mægen,Old English,"Might, power.",1
3664,scrivener,Middle English,"A scribe, a clerk.",1
3665,mylen-stān,Old English,A millstone,1
3666,the kind of rock from which millstones are cut.,Modern English,,1
3667,māna,Old English,A community.,1
3668,mȳðel,Old English,Small confluence.,1
3669,pisen,Old English,Growing with pease.,2
3670,pusa,Old English,Bag.,1
3671,Personal,name (Uncertain) Unknown,Personal name,1
3672,Cwat,Old English,Obscure district name.,2
3673,Personal,name (Uncertain) Unknown,Personal name,1
3674,scræf,Old English,"A cavern, a hole in the ground",7
3675,"a hovel, a hut.",Modern English,,7
3676,scrubb,Old English,"A shrub, brushwood, a place overgrown with brushwood.",1
3677,heth,Middle English,Heath.,1
3678,stīrc,Old English,"A stirk, a young bullock or heifer.",4
3679,stōdere,Old English,Horseman.,1
3680,sōg,Old English,"A bog, a swamp.",1
3681,tǣsel,Old English,A teasel.,1
3682,tweonga,Old English,A pinched piece: a spit of land.,2
3683,Personal,name (Uncertain) Unknown,Personal name,1
3684,wēoling,Old English,A mechanical device.,2
3685,Welisc,Middle English,Welsh.,1
3686,wemm,Old English,Filth,1
3687,a marshy place.,Modern English,,1
3688,rhyn C,Modern English,,1
3689,prior,Middle English,A prior of a religious house.,7
3690,Personal,name (Uncertain) Unknown,Personal name,1
3691,bana,Old English,A slayer,1
3692,the agent which causes death.,Modern English,,1
3693,træppe,Old English,"A trap, a snare.",1
3694,begen,Old English,Of or producing berries.,1
3695,lẹ̄d C,Modern English,,4
3696,Personal,name (Uncertain) Unknown,Personal name,1
3697,chartrouse,Old French,A house of Carthusian monks.,2
3698,ceunant C,Modern English,,1
3699,Personal,name (Uncertain) Unknown,Personal name,1
3700,-ette,Old French,Diminutive suffix.,2
3701,dīgol,Old English,"Hidden, obscure.",1
3702,ardd C,Modern English,,3
3703,emnet,Old English,"A plain, a plateau, a level ground.",2
3704,hals Old English,Modern English,,4
3705,horn-blāwere,Old English,A trumpeter.,1
3706,hors-þegn,Old English,"A groom, an equerry.",1
3707,cylfe,Old English,"Probably a prow, an eminence, a hill.",2
3708,lump,Middle English,A lump.,1
3709,lengen,Old English,"A length, an extent.",1
3710,aigu,Old French,"Sharp, pointed.",1
3711,mont,Old French,"Hill, mountain.",1
3712,muddig,Old English,Muddy.,1
3713,batt,Old English,"A bat, club, cudgel.",1
3714,ōðer,Old English,"Other, second.",3
3715,pode,Middle English,A toad.,2
3716,prið C,Modern English,,1
3717,prisc C,Modern English,,1
3718,rād,Old English,The act of riding on horseback,1
3719,"a riding-way (as distinct from a foot-path), a road.",Modern English,,1
3720,scilig,Old English,"Shaley, stoney.",1
3721,scyl,Old English,A boundary.,1
3722,soc,Old English,Suck,2
3723,used as a term for a marsh.,Modern English,,2
3724,spearca,Old English,"Uncertain: probably brushwood, or a shrub.",1
3725,Personal,name (Uncertain) Unknown,Personal name,1
3726,Personal,name (Uncertain) Unknown,Personal name,1
3727,tæfle,Old English,A chess-board,1
3728,"possibly used of something laid out in squares, or of land in dispute.",Modern English,,1
3729,Personal,name (Uncertain) Unknown,Personal name,1
3730,uppan,Old English,"Up, higher up, upon.",1
3731,wamb,Old English,"A womb, a belly",3
3732,wǣðe,Old English,Hunting.,2
3733,wǣðe-mann,Old English,A hunter.,1
3734,wōcig,Old English,"A noose, a snare.",1
3735,wōr,Old English,"A bird, perhaps `a wood-grouse'.",1
3736,Trussell,Modern English,,1
3737,aley,Middle English,An alley.,1
3738,Ælfrēd,Old English,Masculine personal name.,1
3739,Obscure,element Old English,Obscure.,1
3740,Bēda,Old English,Masculine personal name.,2
3741,Beffa,Old English,Masculine personal name.,1
3742,Beorhthere,Old English,Masculine personal name.,1
3743,Bica,Old English,Masculine personal name.,1
3744,dylf,Old English,"A pity, a quarry.",2
3745,billere,Old English,Bilders (water-plants).,1
3746,blōr,Old English,"A blister, a swelling",2
3747,probably applied to a hill.,Modern English,,2
3748,glæs,Old English,Glass.,1
3749,Obscure,element Old English,Obscure.,1
3750,brǣdu,Old English,Breadth.,6
3751,Obscure,element Old English,Obscure.,1
3752,brende,Old English,"A burnt place, a place destroyed or cleared by burning.",1
3753,castel,Middle English,"A large defensive building, a stronghold, a castle",1
3754,ceas,Old English,A heap.,1
3755,hay,Middle English,"A fence, an enclosure",2
3756,a fenced-in enclosure.,Modern English,,2
3757,Cilla,Old English,Masculine personal name.,1
3758,colt,Old English,A colt.,1
3759,Coppa,Old English,Masculine personal name.,1
3760,Coton,Modern English,,1
3761,Cufa,Old English,Masculine personal name.,1
3762,craca,Old English,"A crow, a raven.",3
3763,Personal,name (Old Norse) Old Norse,Personal name,1
3764,Personal,name (Old Norse) Old Norse,Personal name,1
3765,Personal,name (Old Norse) Old Norse,Personal name,1
3766,dale,Middle English,A valley.,1
3767,dimple,Middle English,"A dimple, a dip in the surface of the land.",1
3768,drengr,Old Norse,"A man, a servant.",2
3769,Dunn,Old English,Masculine personal name.,1
3770,Esne,Old English,Masculine personal name.,1
3771,etting,Old English,"A grazing, a pasturing, a grazing-place, a pasturage.",1
3772,fore,Old English,"In front of, before",2
3773,"used elliptically to mean (land, place, thing) in front of, or standing or lying before, something.",Modern English,,2
3774,Personal,name (Old Norse) Old Norse,Personal name,1
3775,gagel,Old English,"Gale, bog-myrtle",2
3776,ground where this grows.,Modern English,,2
3777,Ceatta,Old English,Masculine personal-name.,1
3778,Searu,Old English,Masculine personal name.,1
3779,wīr,Old English,"Myrtle, bog myrtle.",2
3780,Gunni,Old Norse,Masculine personal name.,1
3781,Personal,name (Old Norse) Old Norse,Personal name,1
3782,hām-stall Old English,Modern English,,1
3783,hǣðiht,Old English,"Heathy, growing with heather.",1
3784,Heddīn,Old English,Masculine personal name.,1
3785,onnen C,Modern English,,1
3786,Personal,name (Old Norse) Old Norse,Personal name,1
3787,hymele,Old English,A hop plant.,3
3788,hynt C,Modern English,,1
3789,clough,Middle English,A ravine.,1
3790,Personal,name (Uncertain) Unknown,Personal name,1
3791,hylr,Old Norse,"A pool, a deep place in a river.",1
3792,Obscure,element Old English,Obscure.,1
3793,Wulfgeat,Old English,Masculine personal name.,1
3794,Cynewald,Old English,Masculine personal name.,1
3795,Obscure,element Old English,Obscure.,1
3796,læppa,Old English,"A lap, the skirt of a garment",2
3797,a district,Modern English,,2
3798,"a border, boundary, edge.",Modern English,,2
3799,loddere,Old English,A beggar.,1
3800,Obscure,element Old English,Obscure.,1
3801,Lēofa,Old English,Masculine personal name.,2
3802,levedi,Middle English,A lady,1
3803,a nun,Modern English,,1
3804,Our Lady.,Modern English,,1
3805,lẹ̄to- C,Modern English,,1
3806,mæddre,Old English,The madder (or similar plant).,1
3807,ān,Old English,"One, single.  (Difficult to distinguish from āna, ""lonely"".)",2
3808,Horsa,Old English,Masculine personal name.,1
3809,Personal,name (Uncertain) Unknown,Personal name,1
3810,Ricard,Old English,Masculine personal name.,1
3811,Personal,name (Uncertain) Unknown,Personal name,1
3812,Rēdbald,Old English,Masculine personal name.,1
3813,Personal,name (Old Norse) Old Norse,Personal name,1
3814,rudig,Old English,"Ruddy, red.",2
3815,selte Old English,Modern English,,1
3816,cēast,Old English,"Strife, contention.",1
3817,Scēot,Old English,Masculine personal name.,1
3818,slind,Old English,"A slope, the side of a hill.",1
3819,Standeford,Modern English,,1
3820,sticel,Old English,"A steep place, a declivity.",2
3821,Personal,name (Old Norse) Old Norse,Personal name,1
3822,weard-setl,Old English,"A guard-house, a watch house.",1
3823,wæter-fall,Old English,"A waterfall, a cascade, a rapid",1
3824,a place where a stream disappears underground.,Modern English,,1
3825,Jones,Modern English,,1
3826,Personal,name (Uncertain) Unknown,Personal name,1
3827,hwǣten,Old English,"Wheaten, growing with wheat.",1
3828,Witi,Old English,Masculine personal name.,1
3829,Wilbeorht,Old English,Masculine personal name.,1
3830,wiligen,Old English,Growing with willows.,2
3831,Wulflāf,Old English,Personal name.,1
3832,Personal,name (Old Norse) Old Norse,Personal name,1
3833,balg Old English,Modern English,,1
3834,Personal,name (Uncertain) Unknown,Personal name,1
3835,bēgel Old English,Modern English,,2
3836,bacc C,Modern English,,1
3837,bel,Old English,"Interval, clearing",1
3838,bel,Old English,"Interval, clearing",1
3839,bēanen,Old English,"Of, or growing with, beans.",1
3840,bildr,Old Norse,Angle,1
3841,used topographically for 'hill' or 'promontory'.,Modern English,,1
3842,Personal,name (Old Norse) Old Norse,Personal name,1
3843,Personal,name (Uncertain) Unknown,Personal name,1
3844,bouge,Old French,"Heath, uncultivated ground covered with heather.",1
3845,combust,Middle English,burnt,1
3846,Personal,name (Uncertain) Unknown,Personal name,1
3847,bung,Old English,A bung'.,1
3848,burh-geat,Old English,"A town-gate, a manor gate.",1
3849,castel,Middle English,"A large defensive building, a stronghold, a castle",1
3850,burh-stall Old English,Modern English,,2
3851,butta,Old English,"A mound, a hill.",1
3852,Personal,name (Old Norse) Old Norse,Personal name,1
3853,Personal,name (Old Norse) Old Norse,Personal name,1
3854,Personal,name (Old Norse) Old Norse,Personal name,1
3855,Personal,name (Old Norse) Old Norse,Personal name,1
3856,elme,Old English,An elm wood.,1
3857,elf Old English,Modern English,,1
3858,Personal,name (Old Norse) Old Norse,Personal name,1
3859,Personal,name (Old Norse) Old Norse,Personal name,1
3860,Personal,name (Old Norse) Old Norse,Personal name,1
3861,forne,Old English,A trout.,3
3862,fox-hol,Old English,"A fox-hole, a fox's earth.",2
3863,fyrsen,Old English,Growing with furze.,1
3864,Personal,name (Old Norse) Old Norse,Personal name,1
3865,Personal,name (Old Norse) Old Norse,Personal name,1
3866,bel,Old English,"Interval, clearing",1
3867,erð Old English,Modern English,,5
3868,seax,Old English,"A stone, a rock.",3
3869,þrȳð,Old English,"A troop, a host of warriors.",2
3870,groten,Old English,Made of particles (in reference to some kind of sandy or gravelly soil).,1
3871,Personal,name (Old Norse) Old Norse,Personal name,1
3872,Personal,name (Old Norse) Old Norse,Personal name,1
3873,grēd Old English,Modern English,,1
3874,sinu,Old English,Sinew,1
3875,huntere,Old English,A hunter.,1
3876,Personal,name (Old Norse) Old Norse,Personal name,1
3877,Personal,name (Old Norse) Old Norse,Personal name,1
3878,Personal,name (Old Norse) Old Norse,Personal name,1
3879,Personal,name (Old Norse) Old Norse,Personal name,1
3880,gip(s),Old English,Yawning estuary.,1
3881,Personal,name (Old Norse) Old Norse,Personal name,1
3882,Personal,name (Old Norse) Old Norse,Personal name,1
3883,gnætt,Old English,A gnat.,1
3884,knot,Middle English,A hard mass of something,1
3885,"a hillock, a rocky hill, a cairn.",Modern English,,1
3886,lēg,Old English,(Beacon) fire.,1
3887,Personal,name (Old Norse) Old Norse,Personal name,1
3888,hlin,Old English,A maple-tree.  (Recorded only as hlin in Riddle 55.9.),2
3889,bel,Old English,"Interval, clearing",1
3890,toft,Old Norse,Building plot.,1
3891,Personal,name (Old Norse) Old Norse,Personal name,1
3892,nafela,Old English,Navel.,1
3893,Personal,name (Old Norse) Old Norse,Personal name,1
3894,Personal,name (Old Norse) Old Norse,Personal name,1
3895,Personal,name (Old Norse) Old Norse,Personal name,1
3896,ūf,Old English,An owl.,1
3897,pāl,Old English,"A stake, a pole.",2
3898,Personal,name (Uncertain) Unknown,Personal name,1
3899,feorm,Old English,"Fixed rent', later 'farm'.",1
3900,Personal,name (Uncertain) Unknown,Personal name,1
3901,rēod,Old English,Clearing.,1
3902,wrēode,Old English,"A shelter, protection.",1
3903,rind,Old English,"A hill, a ridge.",1
3904,rȳmed,Old English,Cleared.,1
3905,rendel,Old English,Little shore'.,1
3906,ryð Old Norse,Modern English,,1
3907,scēad,Old English,"A separation, a boundary.",1
3908,snæp,Old English,A boggy piece of land.,2
3909,snap,Old Norse,Poor pasture.,2
3910,Personal,name (Old Norse) Old Norse,Personal name,1
3911,Personal,name (Old Norse) Old Norse,Personal name,1
3912,stofn,Old Norse,"A stem, a shoot from a tree, a tree-stump.",1
3913,upland,Middle English,"Upper land, or rural district.",1
3914,stútr,Old Norse,A bullock.,1
3915,þing,Old Norse,"An assembly, a council, a meeting.",1
3916,Personal,name (Old Norse) Old Norse,Personal name,1
3917,þriðing,Old English,"A third part, especially the third part of a shire.",1
3918,Personal,name (Old Norse) Old Norse,Personal name,1
3919,Personal,name (Old Norse) Old Norse,Personal name,1
3920,Personal,name (Uncertain) Unknown,Personal name,1
3921,wang,Old English,"A piece of meadowland, an open field.",1
3922,wareine,Middle English,A game preserve,1
3923,"a piece of ground for the breeding of rabbits, a warren.",Modern English,,1
3924,Personal,name (Old Norse) Old Norse,Personal name,1
3925,hwippe,Old English,"A twig, a switch. (Probably)",1
3926,hwearf,Old English,"An embankment, a shore, a wharf.",2
3927,Personal,name (Old Norse) Old Norse,Personal name,1
3928,Personal,name (Old Norse) Old Norse,Personal name,1
3929,wulf-pytt,Old English,"A wolf-pit, a wolf-trap.",1
3930,wride,Old English,"A winding, a twist, a bend.",1
3931,Personal,name (Uncertain) Unknown,Personal name,1
3932,cull C,Modern English,,1
3933,key,Middle English,"A quay, a wharf.",1
3934,lēode,Old English,"Men, people, country.",1
3935,rida,Old English,"A riding path, a ford that can be ridden.",1
3936,mearg,Old English,"Marrow, fat.",2
3937,mearh,Old English,"Horse, steed.",1
3938,lagge,Old English,A marsh. (Probably),1
3939,mort,Middle English,A young salmon.,1
3940,pīpere,Old English,A piper,1
3941,possibly also a type of bird.,Modern English,,1
3942,riche,Old French,Strong.,2
3943,seolh,Old English,A seal.,2
3944,sende,Old English,A sandy place.,2
3945,dell,Old English,A pit,1
3946,a dell.  Used of natural and artificial hollows.,Modern English,,1
3947,hārhūne,Old English,Hore-hound.,1
3948,bealu,Old English,"Bale, harm, injury, destruction, evil.",1
3949,batail,Middle English,A battle,1
3950,a juridical battle,Modern English,,1
3951,in place-names probably a battle-field.,Modern English,,1
3952,prūme,Old English,A plum.,1
3953,cwice,Old English,"Quitch, couch-grass.",1
3954,ēasterra,Old English,"East, eastern.",1
3955,finn,Old English,Coarse grass.,2
3956,fremde,Old English,"Foreign, alien, strange",1
3957,unfriendly,Modern English,,1
3958,"estranged from, remote from.",Modern English,,1
3959,fernðe Old English,Modern English,,1
3960,juxta,Latin,Near.,5
3961,lǣw,Old English,An injury.,1
3962,haven,Middle English,"Haven, a harbour.",1
3963,niman,Old English,"To take, to seize, to appropriate, etc.",1
3964,īegeð,Old English,A small island.,1
3965,plūm-tūn,Old English,A plum orchard.,1
3966,slæd Old English,Modern English,,3
3967,hrēac,Old English,A hay-rick,1
3968,"a heap, stack.",Modern English,,1
3969,mylde,Old English,"Soil, earth.",1
3970,sadol,Old English,A saddle,2
3971,topographically a saddle-shaped dip in the hills.,Modern English,,2
3972,scīr-mann,Old English,"A sheriff, a steward.",1
3973,mill,Modern English,A mill.,1
3974,sengel,Old English,A burnt clearing.,1
3975,sumpt,Old English,"A marsh, a swamp, boggy ground.",1
3976,stēda,Old English,"A steed, a stallion.",1
3977,storc,Old English,A stork.,1
3978,sielling,Old English,A gift.,1
3979,tord,Old English,"Ordure, dung.",1
3980,þaca,Old English,"A roof, a covering (of thatch).",1
3981,træd,Old English,Tread.,1
3982,feralia,Latin,Wilds.,1
3983,fierel Old English,Modern English,,1
3984,Personal,name (Uncertain) Unknown,Personal name,1
3985,westmest,Old English,Westmost.,1
3986,delf,Old English,"A digging, a trench, a pit, a quarry.",1
3987,ān-setl,Old English,A hermitage.,1
3988,dervā C,Modern English,,2
3989,bæcestre,Old English,"A baker (male or female).  Occurs mainly in street-names.  Also used as a ME surname, which may be the immediate source in some place-names.",1
3990,desert,Middle English,"A wild, deserted place.",1
3991,beolone Old English,Modern English,,1
3992,tǣcels,Old English,"A boundary mark, a boundary.",1
3993,brince,Old English,A brink.,1
3994,Personal,name (Uncertain) Unknown,Personal name,1
3995,heord,Old English,"A herd, a flock.",1
3996,ylme,Old English,"An elm-tree, an elm wood.",1
3997,hlot,Old English,"A lot, a share, an allotment.",1
3998,essedum C,Modern English,,1
3999,mandu C,Modern English,,1
4000,cnæpp Old English,Modern English,,1
4001,hnæpp,Old English,A bowl.,2
4002,rād-weg,Old English,"A roadway, a road broad enough for riding along.",1
4003,rōt,Old English,Cheerful.,1
4004,sulig,Old English,A pigsty.,1
4005,sylig,Old English,Muddy.,1
4006,Personal,name (Old Norse) Old Norse,Personal name,1
4007,þrēo,Old English,Three.,2
4008,Tīw,Old English,A heathen Germanic God.,1
4009,galle,Middle English,A barren or unfertile place in a field,1
4010,a spongy place.,Modern English,,1
4011,water,Middle English,water,1
4012,wǣt,Old English,Wet.,1
4013,Personal,name (Old Norse) Old Norse,Personal name,1
4014,topt,Old Norse,"A building site, a curtilage, a messuage.",3
4015,Personal,name (Uncertain) Unknown,Personal name,1
4016,gyrd,Old English,"Yard, rod, staff, twig.",1
4017,Personal,name (Old Norse) Old Norse,Personal name,1
4018,bjórr,Old Norse,A beaver.,1
4019,bjóðr,Old Norse,A table,1
4020,"a plateau, flat ground.",Modern English,,1
4021,Personal,name (Old Norse) Old Norse,Personal name,1
4022,Personal,name (Old Norse) Old Norse,Personal name,1
4023,Personal,name (Uncertain) Unknown,Personal name,1
4024,Personal,name (Old Norse) Old Norse,Personal name,1
4025,dǫkk,Old Norse,"A hollow, a valley.",1
4026,Personal,name (Old Norse) Old Norse,Personal name,1
4027,sīde,Old English,A side,1
4028,gres,Old English,Grass.,1
4029,grár,Old Norse,Grey.,1
4030,hellir,Old Norse,A projecting rock,1
4031,a cave under a projecting rock.,Modern English,,1
4032,hof,Old English,"A dwelling, hall",2
4033,a temple.,Modern English,,2
4034,hof,Old Norse,A temple.,1
4035,geil,Old Norse,A narrow ravine,2
4036,"a way, especially a narrow lane.",Modern English,,2
4037,hár,Old Norse,High.,1
4038,Personal,name (Uncertain) Unknown,Personal name,1
4039,Personal,name (Uncertain) Unknown,Personal name,1
4040,Personal,name (Uncertain) Unknown,Personal name,1
4041,Personal,name (Old Norse) Old Norse,Personal name,1
4042,nata,Old Norse,Nettle.,2
4043,Personal,name (Old Norse) Old Norse,Personal name,1
4044,Personal,name (Old Norse) Old Norse,Personal name,1
4045,graveship D,Modern English,,1
4046,ormr,Old Norse,Snake.,1
4047,Personal,name (Old Norse) Old Norse,Personal name,1
4048,Personal,name (Uncertain) Unknown,Personal name,1
4049,Personal,name (Uncertain) Unknown,Personal name,1
4050,Personal,name (Uncertain) Unknown,Personal name,1
4051,Personal,name (Old Norse) Old Norse,Personal name,1
4052,Personal,name (Old Norse) Old Norse,Personal name,1
4053,slefa,Old Norse,Saliva,1
4054,"probably also mud, sludge.",Modern English,,1
4055,smǽra,Old Norse,Clover.,1
4056,smjǫr,Old Norse,"Grease, butter",1
4057,Personal,name (Old Norse) Old Norse,Personal name,1
4058,Personal,name (Uncertain) Unknown,Personal name,1
4059,Personal,name (Uncertain) Unknown,Personal name,1
4060,truht,Old English,A trout.,2
4061,vátr,Old Norse,Wet.,1
4062,vǫrthr,Old Norse,"Watch, look-out.",1
4063,selja,Old Norse,A willow-tree.,2
4064,Personal,name (Old Norse) Old Norse,Personal name,1
4065,víðir,Old Norse,A willow-tree,1
4066,Personal,name (Uncertain) Unknown,Personal name,1
4067,bicce,Old English,A bitch.,1
4068,bors,Old English,Probably a spiky or bristly plant.,1
4069,castel,Middle English,"A large defensive building, a stronghold, a castle",1
4070,ial C,Modern English,,2
4071,cristel-mǣl,Old English,"A cross, a crucifix.",1
4072,clǣfren,Old English,Growing with clover.,1
4073,devise,Old French,"A division, a boundary.",1
4074,dierne Old English,Modern English,,1
4075,cnugel,Old English,A knuckle,1
4076,used of broken ground.,Modern English,,1
4077,ēðe,Old English,Wasteland.,1
4078,funt C,Modern English,,1
4079,bedwinde,Old English,"Convolvulus, bindweed.",1
4080,-el C,Modern English,,1
4081,kevar C,Modern English,,1
4082,hieg Old English,Modern English,,1
4083,cȳf,Old English,"A vessel, a tub",1
4084,perhaps used of a depression or hollow in the ground.,Modern English,,1
4085,lacuc,Old English,A small stream.,1
4086,Personal,name (Uncertain) Unknown,Personal name,1
4087,Personal,name (Uncertain) Unknown,Personal name,1
4088,crǣwe,Old English,A crow.,1
4089,Personal,name (Uncertain) Unknown,Personal name,1
4090,Personal,name (Uncertain) Unknown,Personal name,1
4091,slāh-þorn,Old English,"A sloe thorn, the blackthorn.",1
4092,Personal,name (Uncertain) Unknown,Personal name,1
4093,Personal,name (Uncertain) Unknown,Personal name,1
4094,fenni,Middle English,"Fenny, marshy, boggy.",1
4095,tēo,Old English,A boundary.,2
4096,tull C,Modern English,,1
4097,Personal,name (Uncertain) Unknown,Personal name,1
4098,wyrt-tūn,Old English,A vegetable garden.,1
4099,Personal,name (Uncertain) Unknown,Personal name,1
4100,beau,lieu Old French,French place-name: a beautiful place.,1
4101,gwaun C,Modern English,,3
4102,wīg C,Modern English,,2
4103,church D,Modern English,,1
4104,clent,Old English,A rock.,1
4105,crumm C,Modern English,,2
4106,mêl C,Modern English,,2
4107,grīma,Old English,"A spectre, a goblin.",1
4108,hagga,Old English,"A haw, the fruit of the hawthorn.",1
4109,Personal,name (Uncertain) Unknown,Personal name,1
4110,Personal,name (Uncertain) Unknown,Personal name,1
4111,mamme,Old English,"A teat, a breast",1
4112,heði̯og C,Modern English,,1
4113,ïd C,Modern English,,1
4114,Sachson C,Modern English,,1
4115,riscuc,Old English,"A rushy place, a rush-bed.",1
4116,salu,Old English,"Sallow, dark, dark-coloured.",1
4117,wearp,Old English,A warp,2
4118,an osier,Modern English,,2
4119,silted land.,Modern English,,2
4120,Personal,name (Old Norse) Old Norse,Personal name,1
4121,Personal,name (Old Norse) Old Norse,Personal name,1
4122,Personal,name (Old Norse) Old Norse,Personal name,1
4123,Personal,name (Old Norse) Old Norse,Personal name,1
4124,balca,Old English,"A ridge, a bank",2
4125,"a balk, beam.  Used in ME and later f.ns. of the strip of ground left unploughed to mark the boundary between adjacent strips of the common field.",Modern English,,2
4126,Personal,name (Old Norse) Old Norse,Personal name,1
4127,Personal,name (Uncertain) Unknown,Personal name,1
4128,Personal,name (Old Norse) Old Norse,Personal name,1
4129,Personal,name (Old Norse) Old Norse,Personal name,1
4130,Personal,name (Old Norse) Old Norse,Personal name,1
4131,bel,assis Old French,French place-name: a fine seat.,1
4132,Personal,name (Old Norse) Old Norse,Personal name,1
4133,Personal,name (Old Norse) Old Norse,Personal name,1
4134,bjúgr,Old Norse,A river-bend.,1
4135,Personal,name (Old Norse) Old Norse,Personal name,1
4136,Personal,name (Old Norse) Old Norse,Personal name,1
4137,Personal,name (Old Norse) Old Norse,Personal name,1
4138,braken,Middle English,"Bracken, fern.",2
4139,Personal,name (Old Norse) Old Norse,Personal name,1
4140,Personal,name (Old Norse) Old Norse,Personal name,1
4141,Personal,name (Old Norse) Old Norse,Personal name,1
4142,Personal,name (Old Norse) Old Norse,Personal name,1
4143,Personal,name (Old Norse) Old Norse,Personal name,1
4144,skekill Old Norse,Modern English,,1
4145,Personal,name (Uncertain) Unknown,Personal name,1
4146,Personal,name (Old Norse) Old Norse,Personal name,1
4147,Personal,name (Old Norse) Old Norse,Personal name,1
4148,foss,Old English,A ditch.,3
4149,Danir,Old Norse,The Danes.,3
4150,dreng,Old English,"A man holding land by a particular form of free tenure combining service, money payments and military duty.",1
4151,upp,Old Norse,"Up, higher up, upon.",1
4152,Personal,name (Uncertain) Unknown,Personal name,1
4153,elri,Old Norse,"An alder-tree, an alder wood.",5
4154,elgr,Old Norse,A heathen temple.,1
4155,Personal,name (Old Norse) Old Norse,Personal name,1
4156,Personal,name (Old Norse) Old Norse,Personal name,1
4157,eski,Old Norse,A place growing with ash-trees,2
4158,ashen.,Modern English,,2
4159,fang,Old Norse,Fishing.,1
4160,Personal,name (Old Norse) Old Norse,Personal name,1
4161,fífa,Old Norse,Cotton grass.,1
4162,fīfel,Old English,A monster.,1
4163,Personal,name (Old Norse) Old Norse,Personal name,1
4164,fleinn,Old Norse,"A dart, an arrow.",1
4165,Personal,name (Old Norse) Old Norse,Personal name,1
4166,flint,Old English,A flint.,1
4167,Personal,name (Uncertain) Unknown,Personal name,1
4168,Personal,name (Old Norse) Old Norse,Personal name,1
4169,Personal,name (Old Norse) Old Norse,Personal name,1
4170,Personal,name (Old Norse) Old Norse,Personal name,1
4171,Personal,name (Old Norse) Old Norse,Personal name,1
4172,Personal,name (Old Norse) Old Norse,Personal name,1
4173,Personal,name (Old Norse) Old Norse,Personal name,1
4174,Personal,name (Uncertain) Unknown,Personal name,1
4175,gifol,Old English,"Liberal, generous, bountiful.",2
4176,Personal,name (Old Norse) Old Norse,Personal name,1
4177,Personal,name (Old Norse) Old Norse,Personal name,1
4178,Personal,name (Old Norse) Old Norse,Personal name,1
4179,Personal,name (Old Norse) Old Norse,Personal name,1
4180,emprise,Old French,Enterprise.,1
4181,Personal,name (Old Norse) Old Norse,Personal name,1
4182,Personal,name (Old Norse) Old Norse,Personal name,1
4183,Personal,name (Old Norse) Old Norse,Personal name,1
4184,Personal,name (Old Norse) Old Norse,Personal name,1
4185,Personal,name (Old Norse) Old Norse,Personal name,1
4186,Personal,name (Old Norse) Old Norse,Personal name,1
4187,hūc,Old English,A hook,2
4188,a river-bend.,Modern English,,2
4189,horn,Old Norse,A horn,1
4190,humli,Old Norse,The hop plant.,1
4191,humol,Old English,A rounded hillock.,1
4192,humul,Old Norse,A rounded hillock.,1
4193,Personal,name (Old Norse) Old Norse,Personal name,1
4194,hunda-maðr,Old Norse,A houndsman.,1
4195,kex,Middle English,A dry hollow stalk,1
4196,a large hollow-stemmed umbelliferous plant.,Modern English,,1
4197,Personal,name (Old Norse) Old Norse,Personal name,1
4198,Personal,name (Old Norse) Old Norse,Personal name,1
4199,Personal,name (Old Norse) Old Norse,Personal name,1
4200,Personal,name (Old Norse) Old Norse,Personal name,1
4201,Personal,name (Old Norse) Old Norse,Personal name,1
4202,Personal,name (Old Norse) Old Norse,Personal name,1
